"forecast_date","target","target_end_date","location","type","quantile","value"
2022-01-18,"1 week(s) ahead",2022-01-24,"US","point","NA","248, 296, 304, 300, 267, 275, 284"
2022-01-25,"2 week(s) ahead",2022-01-31,"US","point","NA","322, 335, 322.5, 260, 197.5, 175.5, 179.5"
2022-02-01,"3 week(s) ahead",2022-02-07,"US","point","NA","185.5, 193, 182.5, 188.5, 184.5, 181, 197"
2022-02-08,"4 week(s) ahead",2022-02-14,"US","point","NA","200, 237, 225, 227.5, 201.5, 206.5, 264"
2022-01-18,"1 week(s) ahead",2022-01-24,"AL,KY,MS,TN","point","NA","14, 15, 11.5, 16.5, 12, 15, 13.5"
2022-01-25,"2 week(s) ahead",2022-01-31,"AL,KY,MS,TN","point","NA","15.5, 17, 18.5, 18.5, 21.5, 22, 22.5"
2022-02-01,"3 week(s) ahead",2022-02-07,"AL,KY,MS,TN","point","NA","24, 23, 15.5, 19.5, 22, 19, 20.5"
2022-02-08,"4 week(s) ahead",2022-02-14,"AL,KY,MS,TN","point","NA","21, 17.5, 19.5, 15.5, 15, 20, 20.5"
2022-01-18,"1 week(s) ahead",2022-01-24,"AK,CA,HI,OR,WA","point","NA","3, 9.5, 0, 1.5, 8.5, 0, 2"
2022-01-25,"2 week(s) ahead",2022-01-31,"AK,CA,HI,OR,WA","point","NA","8, 0, 1, 6.5, 1.5, 3.5, 3.5"
2022-02-01,"3 week(s) ahead",2022-02-07,"AK,CA,HI,OR,WA","point","NA","3.5, 6.5, 2, 4, 7, 3.5, 9"
2022-02-08,"4 week(s) ahead",2022-02-14,"AK,CA,HI,OR,WA","point","NA","8, 4, 12.5, 15, 9.5, 16, 11"
2022-01-18,"1 week(s) ahead",2022-01-24,"AZ,CO,ID,MT,NV,NM,UT,WY","point","NA","3, 2, 1, 2.5, 3, 3.5, 3"
2022-01-25,"2 week(s) ahead",2022-01-31,"AZ,CO,ID,MT,NV,NM,UT,WY","point","NA","3, 3, 2, 3, 2, 2, 0.5"
